"Label (Grouping)","Census Tract 1, New York County, New York","Census Tract 2.01, New York County, New York","Census Tract 2.02, New York County, New York","Census Tract 5, New York County, New York","Census Tract 6, New York County, New York","Census Tract 7, New York County, New York","Census Tract 8, New York County, New York","Census Tract 9, New York County, New York","Census Tract 10.01, New York County, New York","Census Tract 10.02, New York County, New York","Census Tract 12, New York County, New York","Census Tract 13, New York County, New York","Census Tract 14.01, New York County, New York","Census Tract 14.02, New York County, New York","Census Tract 15.01, New York County, New York","Census Tract 15.02, New York County, New York","Census Tract 16, New York County, New York","Census Tract 18, New York County, New York","Census Tract 20, New York County, New York","Census Tract 21, New York County, New York","Census Tract 22.01, New York County, New York","Census Tract 22.02, New York County, New York","Census Tract 24, New York County, New York","Census Tract 25, New York County, New York","Census Tract 26.01, New York County, New York","Census Tract 26.02, New York County, New York","Census Tract 27, New York County, New York","Census Tract 28, New York County, New York","Census Tract 29.01, New York County, New York","Census Tract 29.02, New York County, New York","Census Tract 30.01, New York County, New York","Census Tract 30.02, New York County, New York","Census Tract 31, New York County, New York","Census Tract 32, New York County, New York","Census Tract 33, New York County, New York","Census Tract 34, New York County, New York","Census Tract 36.01, New York County, New York","Census Tract 36.02, New York County, New York","Census Tract 37, New York County, New York","Census Tract 38, New York County, New York","Census Tract 39, New York County, New York","Census Tract 40.01, New York County, New York","Census Tract 40.02, New York County, New York","Census Tract 41, New York County, New York","Census Tract 42, New York County, New York","Census Tract 43, New York County, New York","Census Tract 44, New York County, New York","Census Tract 45, New York County, New York","Census Tract 47, New York County, New York","Census Tract 48, New York County, New York","Census Tract 49, New York County, New York","Census Tract 50, New York County, New York","Census Tract 52, New York County, New York","Census Tract 54, New York County, New York","Census Tract 55.01, New York County, New York","Census Tract 55.02, New York County, New York","Census Tract 56, New York County, New York","Census Tract 57, New York County, New York","Census Tract 58, New York County, New York","Census Tract 59, New York County, New York","Census Tract 60, New York County, New York","Census Tract 61, New York County, New York","Census Tract 62, New York County, New York","Census Tract 63, New York County, New York","Census Tract 64, New York County, New York","Census Tract 65, New York County, New York","Census Tract 66, New York County, New York","Census Tract 67, New York County, New York","Census Tract 68, New York County, New York","Census Tract 69, New York County, New York","Census Tract 70.01, New York County, New York","Census Tract 70.02, New York County, New York","Census Tract 71, New York County, New York","Census Tract 72, New York County, New York","Census Tract 73, New York County, New York","Census Tract 74, New York County, New York","Census Tract 75, New York County, New York","Census Tract 76, New York County, New York","Census Tract 77, New York County, New York","Census Tract 78, New York County, New York","Census Tract 79, New York County, New York","Census Tract 80, New York County, New York","Census Tract 81, New York County, New York","Census Tract 82, New York County, New York","Census Tract 83, New York County, New York","Census Tract 84, New York County, New York","Census Tract 86.01, New York County, New York","Census Tract 86.02, New York County, New York","Census Tract 86.03, New York County, New York","Census Tract 87, New York County, New York","Census Tract 88, New York County, New York","Census Tract 89, New York County, New York","Census Tract 90, New York County, New York","Census Tract 91, New York County, New York","Census Tract 92, New York County, New York","Census Tract 93, New York County, New York","Census Tract 94, New York County, New York","Census Tract 95, New York County, New York","Census Tract 96, New York County, New York","Census Tract 97, New York County, New York","Census Tract 98, New York County, New York","Census Tract 99.01, New York County, New York","Census Tract 99.02, New York County, New York","Census Tract 99.03, New York County, New York","Census Tract 100, New York County, New York","Census Tract 101, New York County, New York","Census Tract 102, New York County, New York","Census Tract 103, New York County, New York","Census Tract 104, New York County, New York","Census Tract 106.01, New York County, New York","Census Tract 106.02, New York County, New York","Census Tract 108.01, New York County, New York","Census Tract 108.02, New York County, New York","Census Tract 108.03, New York County, New York","Census Tract 109, New York County, New York","Census Tract 110, New York County, New York","Census Tract 111, New York County, New York","Census Tract 112.01, New York County, New York","Census Tract 112.02, New York County, New York","Census Tract 112.03, New York County, New York","Census Tract 113, New York County, New York","Census Tract 114.01, New York County, New York","Census Tract 114.02, New York County, New York","Census Tract 115, New York County, New York","Census Tract 116, New York County, New York","Census Tract 117, New York County, New York","Census Tract 118, New York County, New York","Census Tract 119, New York County, New York","Census Tract 120, New York County, New York","Census Tract 121.01, New York County, New York","Census Tract 121.02, New York County, New York","Census Tract 122, New York County, New York","Census Tract 124, New York County, New York","Census Tract 125, New York County, New York","Census Tract 126.01, New York County, New York","Census Tract 126.02, New York County, New York","Census Tract 127, New York County, New York","Census Tract 128, New York County, New York","Census Tract 129.01, New York County, New York","Census Tract 129.02, New York County, New York","Census Tract 130, New York County, New York","Census Tract 131, New York County, New York","Census Tract 132.01, New York County, New York","Census Tract 132.02, New York County, New York","Census Tract 132.03, New York County, New York","Census Tract 133, New York County, New York","Census Tract 134, New York County, New York","Census Tract 135.01, New York County, New York","Census Tract 135.02, New York County, New York","Census Tract 136.01, New York County, New York","Census Tract 136.02, New York County, New York","Census Tract 136.03, New York County, New York","Census Tract 136.04, New York County, New York","Census Tract 137, New York County, New York","Census Tract 138, New York County, New York","Census Tract 139, New York County, New York","Census Tract 140, New York County, New York","Census Tract 142, New York County, New York","Census Tract 143, New York County, New York","Census Tract 144.01, New York County, New York","Census Tract 144.02, New York County, New York","Census Tract 145, New York County, New York","Census Tract 146.01, New York County, New York","Census Tract 146.02, New York County, New York","Census Tract 147, New York County, New York","Census Tract 148.01, New York County, New York","Census Tract 148.02, New York County, New York","Census Tract 149, New York County, New York","Census Tract 150.01, New York County, New York","Census Tract 150.02, New York County, New York","Census Tract 151.01, New York County, New York","Census Tract 151.02, New York County, New York","Census Tract 152, New York County, New York","Census Tract 153.01, New York County, New York","Census Tract 153.02, New York County, New York","Census Tract 154.01, New York County, New York","Census Tract 154.02, New York County, New York","Census Tract 154.03, New York County, New York","Census Tract 155.01, New York County, New York","Census Tract 155.02, New York County, New York","Census Tract 156.01, New York County, New York","Census Tract 156.02, New York County, New York","Census Tract 157, New York County, New York","Census Tract 158.01, New York County, New York","Census Tract 158.02, New York County, New York","Census Tract 159, New York County, New York","Census Tract 160.01, New York County, New York","Census Tract 160.02, New York County, New York","Census Tract 161, New York County, New York","Census Tract 162, New York County, New York","Census Tract 163, New York County, New York","Census Tract 164, New York County, New York","Census Tract 165, New York County, New York","Census Tract 166, New York County, New York","Census Tract 167, New York County, New York","Census Tract 168, New York County, New York","Census Tract 169, New York County, New York","Census Tract 170, New York County, New York","Census Tract 171, New York County, New York","Census Tract 172, New York County, New York","Census Tract 173, New York County, New York","Census Tract 174.01, New York County, New York","Census Tract 174.02, New York County, New York","Census Tract 175, New York County, New York","Census Tract 177, New York County, New York","Census Tract 178, New York County, New York","Census Tract 179, New York County, New York","Census Tract 180, New York County, New York","Census Tract 181, New York County, New York","Census Tract 182, New York County, New York","Census Tract 183, New York County, New York","Census Tract 184, New York County, New York","Census Tract 185, New York County, New York","Census Tract 186, New York County, New York","Census Tract 187, New York County, New York","Census Tract 188, New York County, New York","Census Tract 189, New York County, New York","Census Tract 190, New York County, New York","Census Tract 191, New York County, New York","Census Tract 192, New York County, New York","Census Tract 193, New York County, New York","Census Tract 194, New York County, New York","Census Tract 195, New York County, New York","Census Tract 196, New York County, New York","Census Tract 197.01, New York County, New York","Census Tract 197.02, New York County, New York","Census Tract 198, New York County, New York","Census Tract 199, New York County, New York","Census Tract 200, New York County, New York","Census Tract 201.01, New York County, New York","Census Tract 201.02, New York County, New York","Census Tract 203, New York County, New York","Census Tract 205, New York County, New York","Census Tract 206, New York County, New York","Census Tract 207.01, New York County, New York","Census Tract 208, New York County, New York","Census Tract 209.01, New York County, New York","Census Tract 210, New York County, New York","Census Tract 211, New York County, New York","Census Tract 212, New York County, New York","Census Tract 213.03, New York County, New York","Census Tract 214, New York County, New York","Census Tract 215, New York County, New York","Census Tract 216, New York County, New York","Census Tract 217.03, New York County, New York","Census Tract 218, New York County, New York","Census Tract 219, New York County, New York","Census Tract 220, New York County, New York","Census Tract 221.02, New York County, New York","Census Tract 222, New York County, New York","Census Tract 223.01, New York County, New York","Census Tract 223.02, New York County, New York","Census Tract 224, New York County, New York","Census Tract 225, New York County, New York","Census Tract 226, New York County, New York","Census Tract 227, New York County, New York","Census Tract 228, New York County, New York","Census Tract 229, New York County, New York","Census Tract 230, New York County, New York","Census Tract 231, New York County, New York","Census Tract 232, New York County, New York","Census Tract 233, New York County, New York","Census Tract 234, New York County, New York","Census Tract 235.01, New York County, New York","Census Tract 235.02, New York County, New York","Census Tract 236, New York County, New York","Census Tract 237, New York County, New York","Census Tract 238.02, New York County, New York","Census Tract 238.03, New York County, New York","Census Tract 238.04, New York County, New York","Census Tract 239, New York County, New York","Census Tract 240, New York County, New York","Census Tract 241, New York County, New York","Census Tract 242, New York County, New York","Census Tract 243.01, New York County, New York","Census Tract 243.02, New York County, New York","Census Tract 245, New York County, New York","Census Tract 247, New York County, New York","Census Tract 249, New York County, New York","Census Tract 251, New York County, New York","Census Tract 253, New York County, New York","Census Tract 255, New York County, New York","Census Tract 257, New York County, New York","Census Tract 259, New York County, New York","Census Tract 261, New York County, New York","Census Tract 263, New York County, New York","Census Tract 265, New York County, New York","Census Tract 267, New York County, New York","Census Tract 269, New York County, New York","Census Tract 271, New York County, New York","Census Tract 273, New York County, New York","Census Tract 275, New York County, New York","Census Tract 277, New York County, New York","Census Tract 279, New York County, New York","Census Tract 281, New York County, New York","Census Tract 283, New York County, New York","Census Tract 285, New York County, New York","Census Tract 287, New York County, New York","Census Tract 291, New York County, New York","Census Tract 293, New York County, New York","Census Tract 295, New York County, New York","Census Tract 297, New York County, New York","Census Tract 299, New York County, New York","Census Tract 303, New York County, New York","Census Tract 307, New York County, New York","Census Tract 309, New York County, New York","Census Tract 311, New York County, New York","Census Tract 317.03, New York County, New York","Census Tract 317.04, New York County, New York","Census Tract 319, New York County, New York"
"            White; Black or African American","0","21","54","0","72","77","21","16","6","46","30","27","14","31","61","87","24","63","54","44","67","24","43","42","28","49","2","87","1","12","45","39","27","57","62","86","18","33","27","78","40","18","40","42","43","32","167","4","21","52","35","21","19","21","68","9","33","12","33","31","38","37","34","35","60","56","84","42","31","15","20","31","33","36","38","38","22","24","40","58","55","23","48","27","29","0","29","0","25","47","62","55","37","41","7","74","0","24","1","59","56","14","37","9","13","10","3","17","5","28","25","10","24","12","3","26","34","1","0","10","2","2","14","15","32","52","37","18","17","13","43","12","63","10","26","22","67","11","60","38","2","15","8","37","32","41","44","52","87","5","31","12","35","25","60","45","41","8","0","47","54","57","21","67","4","22","29","32","10","10","64","72","61","22","31","36","46","47","11","37","30","21","62","41","40","71","4","13","26","121","37","99","55","67","45","43","70","83","77","68","83","74","33","65","83","55","70","79","107","99","78","101","58","86","75","50","129","75","92","34","102","72","101","51","10","59","34","105","49","14","60","53","71","47","31","104","49","104","108","80","63","59","46","147","3","103","38","101","68","55","93","25","94","109","77","60","92","107","132","102","128","88","72","77","22","101","93","51","53","20","41","4","97","41","46","111","111","72","18","25","78","73","82","69","101","82","61","9","58","65","79","33","37","114","31","107","83","28","69","85","119","1","39","72","51","89","0","40","76","0"
"            White; American Indian and Alaska Native","0","3","21","0","13","35","10","5","6","7","11","23","9","9","25","35","9","5","16","20","25","8","8","5","16","19","5","24","1","1","19","8","3","35","14","35","11","8","10","34","15","18","4","8","8","14","59","4","10","13","26","10","5","9","11","11","13","0","8","5","17","14","5","15","15","38","27","18","24","4","10","11","17","21","21","16","16","2","21","20","15","11","28","12","17","4","1","0","8","23","13","27","9","21","4","30","0","1","0","21","10","3","11","7","2","7","0","4","3","9","18","7","9","2","0","26","10","0","0","1","2","2","11","7","5","13","19","9","3","8","32","7","14","5","11","6","42","1","21","14","0","5","8","16","8","36","31","13","15","2","5","16","14","27","27","27","9","2","2","15","16","12","19","28","5","8","11","13","8","13","8","20","7","10","20","19","15","10","5","7","6","1","36","30","14","25","5","8","20","7","28","9","22","21","19","6","23","18","35","16","30","6","3","21","22","19","24","19","19","12","26","4","27","7","45","11","31","0","25","0","15","20","15","17","0","16","10","30","6","4","10","15","33","13","9","1","1","7","17","9","28","2","2","18","2","16","14","21","5","4","17","3","5","24","7","32","11","20","14","11","10","11","8","18","4","18","20","11","11","4","7","3","31","2","9","9","29","14","2","2","17","19","16","7","7","13","21","0","10","11","37","13","23","11","23","24","13","8","23","15","22","0","6","17","16","19","0","21","18","0"
"            White; Asian","0","9","56","1","81","235","56","53","40","10","85","133","135","55","143","273","90","105","4","315","58","40","6","4","47","70","18","72","0","70","91","41","53","154","204","121","34","44","70","182","194","84","89","116","123","87","373","43","64","147","129","92","64","122","140","56","98","64","72","93","143","135","59","122","172","158","195","91","112","45","74","97","124","132","127","76","79","37","112","187","82","95","188","59","38","39","93","0","64","133","182","72","184","148","19","112","2","41","4","50","138","56","65","39","25","29","0","65","17","82","129","54","43","25","2","135","71","12","1","19","0","18","45","55","61","79","155","3","56","34","59","27","182","17","108","78","107","90","101","34","46","59","52","95","68","116","186","67","120","18","88","65","99","91","192","134","130","45","1","69","113","163","78","189","69","87","143","127","44","55","19","158","95","63","136","92","103","85","100","86","100","23","180","117","58","213","62","53","145","29","166","24","128","69","154","12","140","52","198","52","168","33","18","196","142","31","142","43","123","42","175","42","73","19","188","48","97","30","136","7","94","54","159","25","6","47","19","244","33","42","72","90","142","22","78","38","16","23","144","19","48","18","33","77","5","68","11","84","15","35","42","19","24","82","26","35","42","45","67","59","12","68","39","39","13","3","56","66","42","57","16","6","68","23","9","8","62","55","8","7","44","69","73","39","25","48","74","1","19","53","98","74","22","53","50","46","6","20","26","10","63","2","3","35","66","16","0","221","277","0"
"            White; Native Hawaiian and Other Pacific Islander","0","0","1","0","0","3","0","2","2","3","2","2","1","6","4","8","0","12","0","0","0","0","0","5","2","0","0","4","0","1","0","3","9","0","5","2","0","2","0","7","0","0","2","1","3","1","5","0","0","0","3","2","0","1","4","0","0","0","0","1","0","4","0","0","0","0","1","1","0","0","1","0","3","0","4","2","2","2","2","0","0","0","1","0","5","1","1","0","0","1","0","1","3","0","4","0","0","0","0","2","0","1","0","0","0","1","0","2","0","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","4","1","1","4","0","4","0","1","0","4","0","0","2","0","0","0","0","2","0","0","0","2","0","3","0","1","3","0","2","0","1","4","1","0","0","0","0","2","2","2","0","2","0","0","0","0","2","0","1","3","0","2","0","1","0","1","1","0","0","0","0","2","1","1","2","2","0","2","1","1","2","6","0","0","0","2","1","1","2","0","2","4","2","0","0","0","0","2","2","3","0","1","2","6","0","2","0","1","1","0","3","0","0","4","0","0","0","0","0","0","3","1","0","0","4","0","1","0","4","0","1","1","0","4","3","1","3","0","3","5","0","2","4","1","7","0","1","1","0","5","0","0","0","1","2","3","0","0","1","0","0","6","3","0","0","2","1","4","0","3","0","0","0","3","6","0","0","0","3","10","2","3","0","0","0","3","1","0","1","0","0"
"            White; Some Other Race","0","115","477","0","410","456","116","74","128","474","229","284","185","195","298","425","144","263","358","350","527","106","340","244","285","240","14","535","0","44","184","152","61","380","272","369","172","129","170","392","332","169","154","163","99","180","818","35","120","200","205","189","142","169","209","53","183","83","247","158","279","166","182","237","379","245","588","229","252","126","190","200","246","334","240","191","163","85","207","345","161","206","428","143","294","48","157","0","212","325","384","292","370","331","125","563","4","85","12","293","350","119","230","99","100","73","22","138","36","302","281","138","136","119","8","362","272","92","18","47","6","50","112","154","150","314","371","49","120","164","344","120","445","123","262","250","481","211","404","206","127","223","110","213","147","416","464","351","427","47","190","199","227","317","508","507","296","205","3","221","393","382","226","370","153","92","285","259","60","171","267","442","342","187","264","219","215","300","176","217","256","118","489","199","219","416","144","158","310","434","343","374","303","513","274","281","346","516","384","352","428","285","142","779","619","336","430","578","499","385","419","474","230","177","424","351","654","149","420","169","518","420","402","176","42","104","80","442","102","84","133","128","217","104","151","103","126","156","500","104","227","80","141","346","22","165","298","183","57","79","576","197","198","579","127","208","124","468","199","255","210","304","135","245","47","85","333","229","201","166","153","14","417","170","170","255","992","550","49","166","866","453","142","181","898","776","648","111","564","660","392","184","464","811","172","632","564","346","814","656","583","4","251","291","270","666","0","257","500","0"
"            Black or African American; American Indian and Alaska Native","0","2","23","0","21","7","3","0","3","25","3","1","0","5","9","3","0","2","24","3","19","1","17","21","4","9","0","5","0","0","4","2","1","2","1","4","3","1","4","8","12","0","5","0","5","0","9","2","4","4","0","4","5","1","1","0","5","8","7","2","0","2","2","0","0","1","27","4","7","0","0","3","4","1","0","2","6","0","0","0","2","0","8","9","3","1","2","0","1","2","0","7","4","4","2","7","0","3","3","24","2","1","1","3","0","3","1","2","0","0","0","1","5","1","1","4","5","2","0","1","0","0","1","3","0","11","4","10","0","7","8","0","1","4","3","3","4","0","3","5","1","6","1","1","1","3","2","4","6","1","1","1","0","4","9","8","0","0","0","1","1","6","0","4","1","0","0","0","1","4","28","15","14","2","3","5","2","7","3","0","1","3","0","2","9","3","0","13","3","49","2","22","8","36","0","15","4","19","0","31","11","18","13","3","27","11","3","38","21","28","9","66","8","36","12","17","43","14","16","32","22","33","12","10","1","11","11","4","26","2","17","2","1","25","4","51","8","57","47","35","23","25","13","37","2","21","25","35","10","8","7","18","55","26","27","36","42","18","63","34","52","24","43","26","11","106","29","3","5","3","9","3","21","18","7","49","32","20","3","3","22","11","29","23","17","7","3","0","9","7","2","1","17","13","6","20","5","7","18","3","11","0","14","8","7","23","0","1","2","0"
"            Black or African American; Asian","0","0","21","1","11","20","11","0","4","7","0","11","0","2","22","10","2","9","5","4","14","5","1","6","6","4","0","7","0","9","8","2","4","11","2","8","11","5","0","6","4","2","6","5","10","6","15","1","3","4","1","2","1","0","1","4","0","0","4","10","10","9","6","6","8","9","5","1","3","0","12","8","1","3","2","5","1","0","0","12","0","4","5","1","4","4","5","0","1","4","9","7","5","9","1","3","0","1","1","1","7","2","7","8","4","1","0","8","0","3","0","2","0","2","0","5","9","3","0","0","0","0","0","3","3","8","4","0","0","0","8","0","7","0","0","7","10","1","2","0","3","0","3","3","6","10","3","8","8","1","0","0","6","7","1","10","1","0","1","8","0","8","2","6","0","3","6","10","0","3","1","8","11","0","3","11","4","11","3","0","4","5","2","1","5","12","0","1","6","19","3","17","4","5","6","1","6","22","5","4","6","13","2","6","20","11","6","2","15","7","2","7","6","10","2","6","21","20","10","4","11","0","12","7","1","12","11","18","11","0","7","6","3","9","1","8","9","14","15","18","17","11","5","10","2","15","11","21","13","11","11","11","4","22","7","22","11","17","20","6","15","18","12","15","5","9","10","0","12","6","0","4","9","7","8","6","11","15","7","1","8","3","6","7","21","3","6","3","14","8","5","6","7","14","6","3","11","5","8","12","10","1","7","2","8","9","1","4","8","0"
"            Black or African American; Native Hawaiian and Other Pacific Islander","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","0","4","0","0","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","2","1","1","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","3","0","0","0","2","0","0","3","0","0","0","0","0","1","0","1","0","0","4","0","1","0","0","5","1","2","0","0","0","0","2","3","5","0","2","0","0","0","0","0","2","0","1","2","0","0","0","1","1","0","1","0","0","0","0","2","0","0","0","2","0","5","0","0","4","7","3","0","0","1","2","0","2","0","0","0","1","2","0","0","0","7","5","1","0","0","0","2","0","0","2","0","0","0","0","3","1","1","1","1","4","1","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"            Black or African American; Some Other Race","0","50","115","0","143","19","10","5","5","183","70","12","10","27","22","17","12","19","121","5","129","11","130","90","60","51","1","114","0","0","34","19","4","35","6","34","55","14","4","23","12","10","8","10","16","15","52","3","6","14","4","5","4","4","12","5","20","5","8","2","6","7","6","14","23","6","109","10","4","5","19","9","1","18","5","13","6","18","12","19","7","11","13","9","41","7","21","0","5","19","20","39","25","17","4","66","0","2","1","41","4","14","37","24","8","8","0","32","3","6","1","6","4","1","0","10","39","3","3","0","4","0","3","10","15","49","12","14","0","14","38","0","22","8","13","2","48","2","70","21","0","21","8","7","5","38","14","62","64","0","15","3","0","14","16","29","9","4","0","3","6","34","9","26","18","0","5","12","1","5","139","53","98","6","22","7","23","24","4","8","28","39","15","16","20","25","0","9","16","242","8","278","19","174","19","126","50","143","49","168","92","182","70","13","147","81","50","197","97","288","27","271","27","191","58","133","392","108","50","146","306","294","117","129","19","67","31","34","67","4","159","19","18","96","10","103","106","251","252","112","170","65","116","255","10","121","272","127","29","95","367","178","258","468","104","136","146","381","249","242","302","241","166","270","88","236","323","13","50","16","116","10","323","149","172","287","796","329","82","121","485","154","112","118","716","435","249","85","507","323","90","23","398","512","39","360","340","165","604","419","278","0","179","123","86","461","1","7","36","0"
"            American Indian and Alaska Native; Asian","0","4","2","0","6","1","5","0","1","1","0","0","9","0","0","3","4","0","0","0","4","1","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","3","0","2","1","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","3","0","4","1","1","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","2","1","0","0","0","1","1","0","0","2","2","0","2","1","0","0","0","4","2","0","0","0","0","0","4","0","0","6","4","0","0","4","0","0","1","0","0","1","1","2","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","2","0","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","1","0","0","2","1","2","2","1","0","4","0","0","2","2","3","0","0","0","2","0","0","0","4","0","1","0","0","0","2","2","2","3","0","1","0","2","0","7","0","0","0","1","0","1","1","1","1","0","1","0","0","0","0","0","0","3","2","1","0","0","0","1","0","0","4","0","2","5","1","1","0","0","4","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","5","0","4","0","1","0","0","3","0","0","1","0","0","0","2","0","2","0","2","0","1","1","1","0","0","0","0","7","0","1","0","0","0","0","0","0","1","0","4","4","1","0","0","1","0","1","2","0","2","0","0"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0"
"            American Indian and Alaska Native; Some Other Race","0","3","6","0","7","0","1","4","2","10","5","0","0","2","4","2","0","13","4","2","16","3","3","10","9","9","4","9","0","0","1","4","4","6","0","9","14","4","0","1","6","1","0","4","3","4","3","0","0","6","0","0","0","0","0","0","3","0","2","1","0","0","1","3","14","0","4","2","1","4","1","4","2","2","0","3","1","0","1","6","0","0","1","1","3","0","0","0","0","0","0","0","1","0","0","6","0","3","0","6","2","1","6","0","2","0","0","0","1","0","0","0","1","0","0","1","2","0","4","0","0","1","0","1","10","6","0","4","0","4","3","0","0","2","0","1","13","1","4","2","0","2","1","2","0","4","3","18","2","1","4","0","1","3","0","4","0","0","0","6","0","0","0","4","4","2","4","3","0","3","9","4","7","0","0","6","2","5","1","0","5","1","5","9","1","2","0","1","1","6","5","19","6","37","0","7","4","21","0","20","7","7","0","9","4","21","4","43","1","43","5","24","1","14","9","39","12","8","6","9","41","23","12","14","0","5","0","0","4","0","9","2","0","4","4","6","6","6","4","4","1","0","0","9","1","5","8","5","0","0","42","2","4","56","1","0","2","56","11","18","17","49","8","28","6","8","32","2","5","0","11","0","19","10","20","42","73","27","5","12","85","16","0","4","52","36","15","10","47","37","10","0","18","34","0","29","21","14","78","35","22","0","11","10","12","26","0","0","2","0"
"            Asian; Native Hawaiian and Other Pacific Islander","0","1","0","0","1","3","1","4","0","12","1","2","1","1","3","11","7","9","6","1","2","2","5","1","0","5","1","5","10","5","0","0","140","1","3","3","0","8","0","3","5","1","125","47","4","0","6","0","0","5","0","2","172","2","8","1","0","0","0","58","3","66","6","37","49","4","6","1","74","53","28","4","3","2","4","1","0","2","0","3","2","6","0","3","0","11","0","0","1","4","0","3","8","5","2","7","0","2","11","18","5","1","2","2","6","11","0","0","0","0","2","1","2","0","4","0","25","5","0","0","4","0","4","9","0","0","2","9","1","4","0","0","6","4","0","0","1","2","9","6","0","9","1","5","0","6","3","1","0","0","1","0","1","7","1","7","3","0","3","0","0","3","0","6","2","3","2","2","0","0","0","4","3","0","1","2","3","8","1","1","2","1","4","3","6","0","0","2","5","2","8","4","2","4","0","2","0","2","4","1","4","2","0","2","2","4","1","2","1","0","2","3","0","2","0","1","0","4","8","1","3","4","6","7","3","6","2","8","0","1","1","0","2","2","3","3","3","1","0","3","1","0","0","2","0","0","0","1","0","4","2","0","5","6","7","7","5","3","1","1","0","2","2","6","0","4","1","4","0","5","0","2","2","0","0","1","2","0","2","1","3","5","0","3","6","0","2","0","4","5","0","2","1","3","2","1","0","0","3","2","2","0","1","1","0","1","0","0","2","0"
"            Asian; Some Other Race","0","2","11","0","14","10","8","1","1","7","3","4","6","4","17","8","7","7","7","19","11","5","2","8","5","6","0","9","0","6","9","6","1","7","5","3","3","1","3","8","4","0","7","8","5","3","13","0","0","8","3","0","0","2","3","4","7","0","3","12","4","7","10","3","5","1","4","1","6","2","5","7","6","2","0","2","2","8","7","12","5","5","3","0","2","3","0","0","0","6","6","2","13","1","3","4","0","4","1","5","5","4","0","2","4","0","0","0","0","1","4","0","1","1","1","5","2","1","0","0","0","1","0","8","3","5","2","2","4","4","7","1","3","2","2","1","9","0","9","7","2","6","4","0","3","4","1","4","10","2","3","1","1","6","2","7","0","0","2","0","9","1","0","15","1","5","4","4","0","2","4","18","11","0","3","8","2","7","0","8","6","3","6","4","6","6","4","0","1","5","6","7","2","9","1","10","3","15","7","9","4","12","6","11","7","6","6","8","5","12","9","12","3","6","11","4","16","2","15","7","24","3","9","11","0","2","2","6","3","1","5","1","6","6","3","1","4","5","25","6","7","1","2","5","0","5","11","1","1","0","17","11","1","16","8","5","7","5","3","14","9","11","5","7","2","0","10","11","4","6","4","0","19","3","6","1","29","12","3","7","13","10","10","2","17","4","15","0","12","6","4","3","9","8","8","14","8","6","36","22","8","0","12","1","3","7","0","6","18","0"
